股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,更新時間
1440,南紡,13.45,27.93,26.04,35.29,-0.04,-0.03,-0.02,14.0,13.55,13.1,1769,1678,1.05,222.84,64.05,0.3,2.23,2026-02-28 15:31:34
1441,大東,10.1,74.13,56.72,50.0,-0.06,-0.09,0.03,10.32,10.09,9.85,15,16,0.95,7.25,,,,2026-02-28 15:31:35
1442,名軒,28.75,25.32,42.79,48.72,-0.25,-0.19,-0.06,30.38,29.51,28.64,377,483,0.78,105.29,7.59,4.5,15.65,2026-02-28 15:31:36
1443,立益物流,26.8,49.97,51.07,47.24,0.05,0.01,0.04,27.92,27.06,26.19,32,32,0.98,36.27,34.81,,,2026-02-28 15:31:37
1444,力麗,6.38,53.53,38.82,28.72,0.03,0.05,-0.02,6.89,6.42,5.94,613,754,0.81,62.8,22.79,,,2026-02-28 15:31:38
1445,大宇,14.95,39.41,50.6,60.53,0.43,0.48,-0.05,15.91,14.88,13.84,57,111,0.51,19.53,,0.5,3.34,2026-02-28 15:31:40
1446,宏和,16.15,18.71,19.74,24.49,-0.42,-0.38,-0.04,17.8,16.86,15.92,365,318,1.15,22.24,5.73,2.0,12.38,2026-02-28 15:31:41
1447,力鵬,5.52,61.41,42.99,35.0,0.02,0.02,-0.0,5.97,5.49,5.01,1017,820,1.24,46.56,15.33,,,2026-02-28 15:31:42
1449,佳和,10.85,14.97,16.01,27.03,-0.18,-0.1,-0.08,12.18,11.32,10.45,588,512,1.15,13.79,5.37,0.33,3.04,2026-02-28 15:31:43
1451,年興,18.4,83.64,71.72,56.25,0.18,0.1,0.07,18.55,17.88,17.22,200,282,0.71,36.43,10.45,1.0,5.43,2026-02-28 15:31:45
1452,宏益,11.55,24.9,22.9,25.0,-0.05,-0.03,-0.02,12.08,11.77,11.46,77,136,0.57,15.32,5.83,0.5,4.33,2026-02-28 15:31:46
1453,大將,13.25,52.96,51.59,55.95,0.21,0.2,0.0,14.0,12.99,11.98,71,108,0.65,15.0,,,,2026-02-28 15:31:47
1454,台富,14.25,24.27,27.06,56.96,0.27,0.33,-0.06,16.15,14.04,11.92,53,89,0.59,17.4,,0.25,1.75,2026-02-28 15:31:48
1455,集盛,8.33,13.07,18.94,21.31,0.07,0.15,-0.08,9.81,8.73,7.65,816,709,1.15,44.29,11.57,,,2026-02-28 15:31:49
1456,怡華,13.05,78.63,79.04,50.0,0.02,0.01,0.01,13.29,13.07,12.85,32,56,0.57,12.23,10.28,,,2026-02-28 15:31:50
1457,宜進,16.0,78.92,60.65,60.53,0.05,-0.08,0.13,16.02,15.32,14.61,75,161,0.47,37.36,38.1,1.0,6.25,2026-02-28 15:31:52
1459,聯發,12.4,60.34,57.83,66.67,0.1,0.03,0.07,12.32,11.87,11.42,473,457,1.03,39.37,5.85,,,2026-02-28 15:31:53
1460,宏遠,6.83,84.28,83.75,55.41,0.11,0.11,0.0,6.96,6.69,6.41,812,832,0.98,46.07,10.51,,,2026-02-28 15:31:54
1463,強盛新,18.45,96.35,91.03,78.79,0.09,-0.04,0.13,18.64,17.77,16.91,28,70,0.4,31.66,4.87,2.1,11.38,2026-02-28 15:31:55
1464,得力,11.0,18.32,21.29,26.32,-0.09,-0.05,-0.04,11.77,11.27,10.78,431,433,1.0,46.62,28.21,0.5,4.55,2026-02-28 15:31:56
1465,偉全,12.5,78.95,65.03,50.0,-0.03,-0.05,0.02,12.61,12.44,12.27,36,70,0.52,12.95,,0.6,4.8,2026-02-28 15:31:57
1466,聚隆,19.95,93.9,89.78,93.6,1.13,0.73,0.4,19.37,15.89,12.42,2969,1537,1.93,22.18,,,,2026-02-28 15:31:58
1467,南緯,7.58,67.56,46.67,38.52,-0.03,-0.01,-0.01,7.95,7.56,7.17,138,126,1.09,17.71,,,,2026-02-28 15:32:00
1468,昶和,13.5,86.0,73.08,55.56,0.31,0.28,0.03,13.83,12.98,12.13,58,58,0.99,21.65,135.0,,,2026-02-28 15:32:01
1470,大統新創,23.7,56.33,49.85,71.43,0.16,0.07,0.1,23.72,23.01,22.3,1,14,0.07,20.33,34.85,1.01,4.26,2026-02-28 15:32:02
1471,首利,13.6,54.02,34.17,48.35,0.5,0.6,-0.1,14.63,12.36,10.09,6148,2494,2.47,20.46,,,,2026-02-28 15:32:03
1472,三洋實業,91.0,59.77,66.62,73.97,0.55,0.28,0.28,91.98,88.91,85.85,251,81,3.07,47.76,14.38,3.0,3.3,2026-02-28 15:32:05
1473,台南,25.2,55.67,50.32,32.89,0.09,0.14,-0.05,27.26,25.73,24.19,82,153,0.54,36.83,20.32,2.0,7.94,2026-02-28 15:32:06
1474,弘裕,10.3,44.41,37.73,40.0,-0.09,-0.12,0.03,10.57,10.31,10.05,86,88,0.97,13.38,31.21,0.4,3.88,2026-02-28 15:32:07
1475,業旺,30.8,43.92,33.72,34.0,-0.38,-0.33,-0.05,32.97,31.47,29.97,44,48,0.9,20.33,8.98,3.6,11.69,2026-02-28 15:32:08
