股票代號,股票名稱,收盤價,K值,D值,KD狀態,RSI,DIF,MACD,柱狀圖,MACD狀態,BB上軌,BB中軌,BB下軌,BB位置,成交量張,5日均量張,量比,市值億,本益比,EPS,每股配息,殖利率,更新時間,交易日
3006,晶豪科,154.0,21.69,37.84,K<D,52.65,9.08,12.82,-3.73,DIF<MACD,188.8,160.68,132.55,38.1,11777,17878,0.66,419.93,1184.62,,1.0,0.65,2026-02-11 23:25:32,
3008,大立光,2290.0,23.86,23.48,K>D,30.14,-18.81,1.25,-20.05,DIF<MACD,2508.24,2390.75,2273.26,7.1,480,454,1.06,2995.28,13.35,171.59,85.5,3.73,2026-02-11 23:25:33,
3010,華立,122.0,54.78,47.29,K>D,57.14,2.09,2.26,-0.17,DIF<MACD,126.78,119.58,112.37,66.8,1798,1546,1.16,316.51,14.82,8.23,5.3,4.34,2026-02-11 23:25:34,
3011,今皓,12.95,10.65,11.99,K<D,39.8,-0.34,-0.22,-0.13,DIF<MACD,15.26,13.83,12.4,19.2,298,451,0.66,16.21,,,,,2026-02-11 23:25:35,
3013,晟銘電,107.5,38.85,31.34,K>D,27.78,-4.61,-4.16,-0.46,DIF<MACD,125.76,115.03,104.29,14.9,1425,1996,0.71,220.52,27.71,3.88,0.6,0.56,2026-02-11 23:25:36,
3014,聯陽,119.5,61.46,50.64,K>D,46.15,0.52,0.58,-0.06,DIF<MACD,123.28,119.08,114.87,55.0,480,812,0.59,198.39,12.62,9.47,9.0,7.53,2026-02-11 23:25:37,
3015,全漢,54.2,51.03,33.49,K>D,45.45,-0.27,-0.32,0.05,黃金交叉,57.35,53.63,49.91,57.7,805,554,1.45,101.5,31.33,1.73,3.0,5.54,2026-02-11 23:25:39,
3016,嘉晶,55.5,13.4,16.7,K<D,25.89,-0.42,1.07,-1.49,DIF<MACD,74.27,62.61,50.96,19.5,1727,2045,0.84,160.14,5550.0,0.01,0.5,0.9,2026-02-11 23:25:40,
3017,奇鋐,1605.0,68.92,73.72,K<D,74.04,60.05,42.4,17.65,DIF>MACD,1731.63,1469.25,1206.87,75.9,3265,4915,0.66,6270.94,42.89,37.42,9.93,0.62,2026-02-11 23:25:41,
3018,隆銘綠能,13.15,83.07,74.18,K>D,66.67,0.17,0.06,0.11,DIF>MACD,12.67,11.95,11.24,133.1,100,35,2.88,9.91,1.47,,,,2026-02-11 23:25:42,
3019,亞光,148.0,17.97,24.61,K<D,48.59,1.82,2.84,-1.02,DIF<MACD,163.71,149.78,135.84,43.6,5785,10776,0.54,413.28,21.83,6.78,4.0,2.7,2026-02-11 23:25:44,
3021,鴻名,17.15,22.19,25.76,K<D,30.67,-0.22,-0.08,-0.14,DIF<MACD,19.17,18.02,16.88,11.7,133,153,0.87,16.27,43.97,0.39,0.3,1.75,2026-02-11 23:25:45,
3022,威強電,60.7,14.23,14.96,K<D,12.9,-1.31,-0.72,-0.58,DIF<MACD,70.15,65.08,60.0,6.9,513,756,0.68,107.19,11.18,5.43,4.5,7.41,2026-02-11 23:25:46,
3023,信邦,233.0,73.13,79.95,K<D,79.33,9.75,8.05,1.7,DIF>MACD,257.82,217.15,176.48,69.5,1289,1900,0.68,559.36,17.95,12.98,10.25,4.4,2026-02-11 23:25:47,
3024,憶聲,10.3,32.63,25.88,K>D,25.0,-0.24,-0.18,-0.06,DIF<MACD,11.72,10.79,9.86,23.7,401,515,0.78,28.55,13.04,0.79,0.4,3.88,2026-02-11 23:25:48,
3025,星通,54.1,6.63,14.85,K<D,23.21,-2.36,0.1,-2.46,DIF<MACD,81.82,68.53,55.25,-4.3,1141,1316,0.87,30.69,26.14,2.07,3.3,6.1,2026-02-11 23:25:49,
3026,禾伸堂,104.5,57.84,46.43,K>D,30.3,-0.2,0.01,-0.22,DIF<MACD,110.23,105.75,101.27,36.0,730,835,0.87,173.36,17.24,6.06,5.5,5.26,2026-02-11 23:25:51,
3027,盛達,23.1,14.64,14.47,黃金交叉,18.58,-0.4,-0.02,-0.38,DIF<MACD,28.69,25.31,21.93,17.4,296,341,0.87,26.54,53.72,0.43,0.37,1.6,2026-02-11 23:25:52,
3028,增你強,47.95,36.92,41.9,K<D,59.72,1.75,1.73,0.01,黃金交叉,52.44,43.79,35.14,74.1,34205,18628,1.84,113.76,16.71,2.87,2.1,4.38,2026-02-11 23:25:53,
3029,零壹,114.0,50.84,38.59,K>D,56.41,-0.32,-0.35,0.03,黃金交叉,115.61,111.97,108.34,77.9,2620,1344,1.95,190.39,18.21,6.26,5.0,4.39,2026-02-11 23:25:54,
3030,德律,185.0,47.72,49.67,K<D,55.56,2.23,2.21,0.02,DIF>MACD,190.66,181.6,172.54,68.8,1516,2944,0.52,437.0,18.86,9.81,5.0,2.7,2026-02-11 23:25:55,
3031,佰鴻,20.0,29.68,26.73,黃金交叉,45.35,0.01,0.07,-0.06,DIF<MACD,20.98,20.19,19.4,37.8,225,324,0.7,34.64,19.8,1.01,1.0,5.0,2026-02-11 23:25:56,
3032,偉訓,73.7,41.26,41.06,黃金交叉,53.37,-0.74,-1.02,0.28,DIF>MACD,75.25,73.2,71.15,62.2,607,513,1.18,83.49,,,2.73,3.7,2026-02-11 23:25:57,
3033,威健,31.55,45.77,30.91,K>D,53.68,-0.03,-0.06,0.03,黃金交叉,31.56,30.73,29.89,99.3,5905,3547,1.66,151.4,21.91,1.44,2.08,6.59,2026-02-11 23:25:59,
3034,聯詠,375.0,46.93,33.47,K>D,44.37,-3.05,-2.16,-0.89,DIF<MACD,400.6,379.65,358.7,38.9,2368,3125,0.76,2281.92,13.09,28.65,28.0,7.47,2026-02-11 23:26:00,
3035,智原,162.0,31.81,27.31,K>D,40.74,-2.14,-1.37,-0.77,DIF<MACD,180.23,167.93,155.62,25.9,6120,3642,1.68,422.09,57.65,2.81,3.0,1.85,2026-02-11 23:26:01,
