股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,BB上軌,BB下軌,成交量張,量比,市值億,本益比,每股配息,殖利率,更新時間
2104,國際中橡,13.7,,,,,,,,,,,,,,2026-02-25
2105,正新,30.45,,,,,,,,,,,,,,2026-02-25
2106,建大,20.25,,,,,,,,,,,,,,2026-02-25
2107,厚生,25.7,,,,,,,,,,,,,,2026-02-25
2108,南帝,27.35,,,,,,,,,,,,,,2026-02-25
2109,華豐,15.1,,,,,,,,,,,,,,2026-02-25
2114,鑫永銓,89.5,,,,,,,,,,,,,,2026-02-25
2115,六暉-KY,24.35,,,,,,,,,,,,,,2026-02-25
2201,裕隆,30.8,,,,,,,,,,,,,,2026-02-25
2204,中華,59.2,,,,,,,,,,,,,,2026-02-25
2206,三陽工業,60.7,,,,,,,,,,,,,,2026-02-25
2207,和泰車,557.0,,,,,,,,,,,,,,2026-02-25
2208,台船,24.1,,,,,,,,,,,,,,2026-02-25
2211,長榮鋼,102.5,,,,,,,,,,,,,,2026-02-25
2227,裕日車,55.2,,,,,,,,,,,,,,2026-02-25
2228,劍麟,95.3,,,,,,,,,,,,,,2026-02-25
2231,為升,98.5,,,,,,,,,,,,,,2026-02-25
2233,宇隆,229.0,,,,,,,,,,,,,,2026-02-25
2236,百達-KY,115.0,,,,,,,,,,,,,,2026-02-25
2239,英利-KY,27.8,,,,,,,,,,,,,,2026-02-25
2241,艾姆勒,29.5,,,,,,,,,,,,,,2026-02-25
2243,宏旭-KY,12.05,,,,,,,,,,,,,,2026-02-25
2247,汎德永業,269.0,,,,,,,,,,,,,,2026-02-25
2248,華勝-KY,49.15,,,,,,,,,,,,,,2026-02-25
2250,IKKA-KY,70.7,,,,,,,,,,,,,,2026-02-25
2254,巨鎧精密-創,61.5,,,,,,,,,,,,,,2026-02-25
2258,鴻華先進-創,39.25,,,,,,,,,,,,,,2026-02-25
2301,光寶科,192.0,,,,,,,,,,,,,,2026-02-25
