股票代號,股票名稱,收盤價,K值,D值,KD狀態,RSI,DIF,MACD,柱狀圖,MACD狀態,BB上軌,BB中軌,BB下軌,BB位置,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,更新時間,交易日
1440,南紡,13.69,31.1,40.2,K<D,44.75,0.02,0.04,-0.02,DIF<MACD,14.02,13.55,13.07,32.25,796,1342,0.44,220.36,63.33,0.3,2.26,2026-02-03 23:24:59,
1441,大東,10.12,7.72,19.83,K<D,22.73,-0.12,-0.1,-0.03,DIF<MACD,10.52,10.22,9.93,3.16,17,30,0.97,7.15,,,,2026-02-03 23:25:00,
1442,名軒,28.97,55.8,48.68,K>D,43.66,-0.31,-0.36,0.05,DIF>MACD,30.72,29.8,28.88,28.23,692,657,1.52,108.03,7.78,4.5,15.25,2026-02-03 23:25:01,
1443,立益物流,26.44,59.39,57.04,K<D,50.93,0.01,-0.03,0.04,DIF>MACD,27.46,27.01,26.55,76.05,4,16,0.2,36.88,35.39,,,2026-02-03 23:25:03,
1444,力麗,6.39,33.76,48.43,K<D,57.09,0.11,0.11,0.0,DIF>MACD,6.89,6.32,5.75,36.47,467,1380,0.16,61.72,22.39,,,2026-02-03 23:25:04,
1445,大宇,15.74,76.25,74.22,K>D,85.39,0.45,0.24,0.21,DIF>MACD,15.68,13.5,11.33,100.0,609,248,2.49,20.32,,0.5,3.22,2026-02-03 23:25:05,
1446,宏和,16.98,12.15,18.62,K<D,29.36,-0.32,-0.21,-0.12,DIF<MACD,18.71,17.68,16.65,11.33,86,212,0.6,23.07,5.94,2.0,11.94,2026-02-03 23:25:06,
1447,力鵬,5.5,33.06,48.39,K<D,53.7,0.05,0.03,0.01,DIF>MACD,5.94,5.38,4.82,54.06,752,2553,0.1,45.64,15.03,,,2026-02-03 23:25:07,
1449,佳和,10.87,7.75,16.6,K<D,21.6,0.02,0.17,-0.16,DIF<MACD,12.76,11.81,10.87,12.06,492,575,1.09,14.17,5.52,0.33,2.96,2026-02-03 23:25:08,
1451,年興,17.4,27.95,32.42,K<D,52.92,0.11,0.14,-0.04,DIF<MACD,18.33,17.69,17.05,45.0,59,98,0.15,34.75,9.97,1.0,5.7,2026-02-03 23:25:09,
1452,宏益,11.48,32.41,43.14,K<D,49.51,0.01,0.01,-0.0,DIF<MACD,12.06,11.81,11.55,39.79,31,75,0.1,15.59,5.93,0.5,4.26,2026-02-03 23:25:11,
1453,大將,13.33,61.37,59.59,K>D,55.97,0.24,0.12,0.12,DIF>MACD,13.63,12.52,11.41,80.32,156,609,0.15,14.78,,,,2026-02-03 23:25:12,
1454,台富,16.72,92.07,80.44,K>D,94.66,0.52,0.12,0.39,DIF>MACD,15.46,13.3,11.14,100.0,3158,1108,2.7,20.27,,0.25,1.51,2026-02-03 23:25:13,
1455,集盛,8.38,41.0,56.12,K<D,61.35,0.31,0.3,0.01,DIF>MACD,9.88,8.38,6.87,58.69,1182,1894,0.44,45.03,11.76,,,2026-02-03 23:25:14,
1456,怡華,12.76,75.55,56.15,K>D,45.37,0.01,0.03,-0.01,DIF<MACD,13.6,13.14,12.67,47.97,4,15,0.26,12.28,10.31,,,2026-02-03 23:25:15,
1457,宜進,14.88,24.31,34.43,K<D,30.9,-0.14,-0.12,-0.02,DIF<MACD,15.83,15.42,15.01,3.68,67,84,0.61,35.14,35.83,1.0,6.64,2026-02-03 23:25:16,
1459,聯發,11.58,37.41,40.95,K<D,45.55,-0.01,-0.0,-0.01,DIF<MACD,11.98,11.8,11.62,31.96,69,137,0.2,37.15,5.52,,,2026-02-03 23:25:17,
