股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
1464,得力,10.35,10.31,14.26,41.67,-0.19,-0.16,-0.04,11.25,10.78,10.31,308,479,0.64,43.87,26.54,0.5,4.83,2026-03-24,2026-03-24 07:31:59
1465,偉全,12.05,25.96,29.22,35.0,-0.11,-0.07,-0.04,12.65,12.32,11.99,250,212,1.18,12.48,,0.6,4.98,2026-03-24,2026-03-24 07:32:00
1466,聚隆,16.7,25.69,36.21,41.88,0.35,0.53,-0.18,19.55,17.83,16.12,319,302,1.05,18.56,,,,2026-03-24,2026-03-24 07:32:01
1467,南緯,7.02,13.01,23.02,38.0,-0.11,-0.1,-0.01,7.59,7.23,6.87,64,150,0.43,16.4,,,,2026-03-24,2026-03-24 07:32:02
1468,昶和,11.95,35.73,29.91,24.44,-0.22,-0.12,-0.11,13.81,12.64,11.46,47,49,0.94,19.17,56.9,,,2026-03-24,2026-03-24 07:32:02
1470,大統新創,22.2,45.16,42.86,43.71,-0.15,-0.12,-0.03,24.2,22.89,21.57,10,4,2.38,19.04,28.46,1.01,4.55,2026-03-24,2026-03-24 07:32:04
1471,首利,13.05,63.15,60.93,54.68,0.42,0.4,0.02,14.43,12.85,11.27,2244,2658,0.84,19.63,435.0,,,2026-03-24,2026-03-24 07:32:06
1472,三洋實業,96.7,73.57,77.36,84.62,1.87,1.3,0.57,97.63,92.17,86.71,14,126,0.11,50.76,15.9,3.0,3.1,2026-03-24,2026-03-24 07:32:07
1473,台南,23.6,34.96,42.12,43.1,-0.37,-0.3,-0.07,25.71,24.36,23.0,54,94,0.58,34.49,41.4,2.0,8.47,2026-03-24,2026-03-24 07:32:08
1474,弘裕,10.0,31.71,31.28,40.96,-0.08,-0.09,0.0,10.36,10.12,9.87,71,91,0.79,12.99,30.3,0.4,4.0,2026-03-24,2026-03-24 07:32:08
1475,業旺,28.1,46.71,48.08,38.46,-0.68,-0.69,0.01,31.04,29.08,27.12,35,27,1.3,18.55,8.19,1.5,5.34,2026-03-24,2026-03-24 07:32:09
1476,儒鴻,348.0,13.23,19.74,33.05,-12.71,-9.24,-3.47,433.08,386.8,340.52,1830,1563,1.17,954.8,17.32,17.0,4.89,2026-03-24,2026-03-24 07:32:10
1477,聚陽,270.0,20.51,27.62,28.9,-9.2,-6.47,-2.73,330.22,297.65,265.08,1285,2051,0.63,666.07,18.52,15.0,5.56,2026-03-24,2026-03-24 07:32:10
1503,士電,191.5,19.9,22.73,45.33,-3.74,-1.5,-2.24,232.88,208.93,184.97,2084,2517,0.83,997.66,30.59,4.5,2.35,2026-03-24,2026-03-24 07:32:11
1504,東元,64.6,18.74,27.79,34.34,-3.96,-3.54,-0.41,83.52,72.36,61.19,6778,8331,0.81,1514.63,26.69,2.2,3.41,2026-03-24,2026-03-24 07:32:13
1506,正道,11.2,44.82,59.27,50.0,-0.14,-0.15,0.0,11.77,11.46,11.15,164,116,1.41,33.64,186.67,,,2026-03-24,2026-03-24 07:32:16
1512,瑞利,7.71,40.42,44.24,59.32,-0.03,-0.05,0.02,8.23,7.61,7.0,85,159,0.53,7.57,,,,2026-03-24,2026-03-24 07:32:17
1513,中興電,156.5,41.7,49.7,52.11,-1.88,-1.56,-0.32,173.8,160.53,147.25,2156,2934,0.73,773.23,19.39,4.6,2.94,2026-03-24,2026-03-24 07:32:17
1514,亞力,113.0,37.14,45.07,50.0,-1.57,-1.07,-0.51,128.52,117.62,106.73,2287,2585,0.88,306.08,34.98,1.7,1.5,2026-03-24,2026-03-24 07:32:18
1515,力山,24.0,23.36,33.07,41.88,-0.61,-0.55,-0.07,27.15,25.38,23.6,199,279,0.71,43.55,24.74,1.0,4.17,2026-03-24,2026-03-24 07:32:19
1516,川飛,22.2,19.45,26.81,50.67,0.09,0.28,-0.18,25.11,22.77,20.43,112,108,1.04,8.88,555.0,,,2026-03-24,2026-03-24 07:32:20
1517,利奇,11.35,38.69,34.54,42.59,-0.13,-0.11,-0.02,12.35,11.69,11.02,202,203,1.0,24.97,1.72,0.2,1.76,2026-03-24,2026-03-24 07:32:20
